2016 Ward Code;2016 Ward Name;Total number of households;1 bedroom household;% with 1 bedroom;2 bedroom household;% with 2 bedrooms;3 bedroom household;% with 3 bedrooms;4 or more bedroom household;% with 4 or more bedrooms;Average number of bedrooms per household;Average household size;Overcrowded households;% households that are overcrowded
E05010907;Lawrence Hill;7077;2288;32.3;3022;42.7;1392;19.7;335;4.7;2.0;2.3;1167;16.5
E05010906;Knowle;5262;568;10.8;578;11.0;3421;65.0;687;13.1;2.8;2.5;218;4.1
E05010889;Bishopsworth;4568;281;6.2;825;18.1;2933;64.2;521;11.4;2.8;2.4;128;2.8
E05010890;Brislington East;4972;516;10.4;1422;28.6;2665;53.6;365;7.3;2.6;2.3;159;3.2
E05010905;Hotwells & Harbourside;2380;740;31.1;984;41.3;303;12.7;340;14.3;2.2;1.9;90;3.8
E05010885;Ashley;7700;2122;27.6;2473;32.1;1635;21.2;1453;18.9;2.4;2.3;664;8.6
E05010901;Henbury & Brentry;5320;514;9.7;1900;35.7;2187;41.1;709;13.3;2.6;2.2;219;4.1
E05010886;Avonmouth & Lawrence Weston;8668;893;10.3;2399;27.7;4420;51.0;945;10.9;2.6;2.3;371;4.3
E05010911;St George Troopers Hill;2513;239;9.5;545;21.7;1491;59.3;236;9.4;2.7;2.3;78;3.1
E05010893;Clifton;5914;1603;27.1;2371;40.1;882;14.9;1031;17.4;2.4;2.0;258;4.4
E05010913;Southmead;5113;719;14.1;991;19.4;3023;59.1;370;7.2;2.6;2.4;289;5.7
E05010918;Windmill Hill;5834;1151;19.7;2067;35.4;2117;36.3;491;8.4;2.4;2.2;277;4.7
E05010908;Lockleaze;4837;508;10.5;910;18.8;2946;60.9;464;9.6;2.7;2.5;331;6.8
E05010895;Cotham;4855;1424;29.3;1430;29.5;654;13.5;1319;27.2;2.6;2.4;318;6.5
E05010904;Horfield;4907;389;7.9;1207;24.6;2510;51.2;798;16.3;2.8;2.4;237;4.8
E05010892;Central;5576;2413;43.3;1881;33.7;519;9.3;704;12.6;2.1;2.0;436;7.8
E05010914;Southville;5331;1436;26.9;1635;30.7;1640;30.8;610;11.4;2.3;2.1;227;4.3
E05010891;Brislington West;4641;621;13.4;1047;22.6;2427;52.3;534;11.5;2.6;2.3;157;3.4
E05010912;St George West;2915;679;23.3;1291;44.3;800;27.4;134;4.6;2.1;2.0;143;4.9
E05010888;Bishopston & Ashley Down;4724;558;11.8;1126;23.8;1819;38.5;1208;25.6;2.9;2.5;158;3.3
E05010898;Filwood;5139;484;9.4;962;18.7;3441;67.0;241;4.7;2.7;2.5;303;5.9
E05010915;Stockwood;4905;592;12.1;803;16.4;2622;53.5;882;18.0;2.8;2.3;139;2.8
E05010909;Redland;5085;828;16.3;1109;21.8;1320;26.0;1808;35.6;3.1;2.5;152;3.0
E05010916;Stoke Bishop;4292;305;7.1;763;17.8;1615;37.6;1604;37.4;3.2;2.3;72;1.7000000000000002
E05010902;Hengrove & Whitchurch Park;7287;506;6.9;1642;22.5;4325;59.4;804;11.0;2.8;2.3;171;2.3
E05010887;Bedminster;5288;744;14.1;1923;36.4;2216;41.9;395;7.5;2.4;2.1;184;3.5
E05010899;Frome Vale;5176;775;15.0;1479;28.6;2112;40.8;797;15.4;2.6;2.2;218;4.2
E05010900;Hartcliffe & Withywood;7607;1078;14.2;2283;30.0;3740;49.2;489;6.4;2.5;2.3;436;5.7
E05010903;Hillfields;4871;416;8.5;987;20.3;3011;61.8;453;9.3;2.7;2.5;267;5.5
E05010917;Westbury-on-Trym & Henleaze;8035;586;7.3;1368;17.0;2816;35.0;3255;40.5;3.3;2.4;99;1.2
E05010894;Clifton Down;5007;1460;29.2;1807;36.1;707;14.1;1001;20.0;2.5;2.2;335;6.7
E05010897;Eastville;5790;1067;18.4;1871;32.3;2047;35.4;782;13.5;2.5;2.3;364;6.3
E05010910;St George Central;5299;713;13.5;1378;26.0;2824;53.3;371;7.0;2.6;2.3;225;4.2
E05010896;Easton;5859;875;14.9;2480;42.3;2110;36.0;375;6.4;2.4;2.3;551;9.4
